[2026-06-20T14:52:15+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T14:57:18+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:02:21+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:07:24+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:12:27+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:17:30+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:22:33+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:27:36+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:32:39+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:37:42+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:42:45+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:47:48+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:52:51+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
[2026-06-20T15:57:57+00:00] OK read={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0} synced={'signals': 49, 'positions': 0, 'handoff': 1, 'trades': 0}
